Loja;RMS;IDVTEX;ENVIRONMENT
1280;6556973;313150624;NFOOD_SFS
1281;6556973;313150624;NFOOD_SFS
1282;6556973;313150624;NFOOD_SFS
1285;6556973;313150624;NFOOD_SFS
1286;6556973;313150624;NFOOD_SFS
1288;6556973;313150624;NFOOD_SFS
1155;6556973;313150624;NFOOD_SFS
1031;6556973;313150624;NFOOD_SFS
5;6556973;14359311;NFOOD_CR
8;6556973;14359311;NFOOD_CR
102;6556973;14359311;NFOOD_CR
103;6556973;14359311;NFOOD_CR
104;6556973;14359311;NFOOD_CR
105;6556973;14359311;NFOOD_CR
106;6556973;14359311;NFOOD_CR
107;6556973;14359311;NFOOD_CR
108;6556973;14359311;NFOOD_CR
109;6556973;14359311;NFOOD_CR
110;6556973;14359311;NFOOD_CR
111;6556973;14359311;NFOOD_CR
112;6556973;14359311;NFOOD_CR
113;6556973;14359311;NFOOD_CR
114;6556973;14359311;NFOOD_CR
115;6556973;14359311;NFOOD_CR
116;6556973;14359311;NFOOD_CR
117;6556973;14359311;NFOOD_CR
120;6556973;14359311;NFOOD_CR
121;6556973;14359311;NFOOD_CR
122;6556973;14359311;NFOOD_CR
123;6556973;14359311;NFOOD_CR
124;6556973;14359311;NFOOD_CR
125;6556973;14359311;NFOOD_CR
126;6556973;14359311;NFOOD_CR
127;6556973;14359311;NFOOD_CR
128;6556973;14359311;NFOOD_CR
129;6556973;14359311;NFOOD_CR
131;6556973;14359311;NFOOD_CR
132;6556973;14359311;NFOOD_CR
133;6556973;14359311;NFOOD_CR
136;6556973;14359311;NFOOD_CR
139;6556973;14359311;NFOOD_CR
140;6556973;14359311;NFOOD_CR
142;6556973;14359311;NFOOD_CR
143;6556973;14359311;NFOOD_CR
144;6556973;14359311;NFOOD_CR
145;6556973;14359311;NFOOD_CR
146;6556973;14359311;NFOOD_CR
149;6556973;14359311;NFOOD_CR
150;6556973;14359311;NFOOD_CR
152;6556973;14359311;NFOOD_CR
154;6556973;14359311;NFOOD_CR
158;6556973;14359311;NFOOD_CR
160;6556973;14359311;NFOOD_CR
161;6556973;14359311;NFOOD_CR
162;6556973;14359311;NFOOD_CR
164;6556973;14359311;NFOOD_CR
165;6556973;14359311;NFOOD_CR
166;6556973;14359311;NFOOD_CR
178;6556973;14359311;NFOOD_CR
179;6556973;14359311;NFOOD_CR
185;6556973;14359311;NFOOD_CR
201;6556973;14359311;NFOOD_CR
202;6556973;14359311;NFOOD_CR
203;6556973;14359311;NFOOD_CR
204;6556973;14359311;NFOOD_CR
206;6556973;14359311;NFOOD_CR
207;6556973;14359311;NFOOD_CR
208;6556973;14359311;NFOOD_CR
235;6556973;14359311;NFOOD_CR
300;6556973;14359311;NFOOD_CR
322;6556973;14359311;NFOOD_CR
327;6556973;14359311;NFOOD_CR
330;6556973;14359311;NFOOD_CR
331;6556973;14359311;NFOOD_CR
335;6556973;14359311;NFOOD_CR
338;6556973;14359311;NFOOD_CR
339;6556973;14359311;NFOOD_CR
347;6556973;14359311;NFOOD_CR
351;6556973;14359311;NFOOD_CR
355;6556973;14359311;NFOOD_CR
380;6556973;14359311;NFOOD_CR
382;6556973;14359311;NFOOD_CR
389;6556973;14359311;NFOOD_CR
393;6556973;14359311;NFOOD_CR
394;6556973;14359311;NFOOD_CR
396;6556973;14359311;NFOOD_CR
398;6556973;14359311;NFOOD_CR
416;6556973;14359311;NFOOD_CR
418;6556973;14359311;NFOOD_CR
420;6556973;14359311;NFOOD_CR
422;6556973;14359311;NFOOD_CR
427;6556973;14359311;NFOOD_CR
440;6556973;14359311;NFOOD_CR
442;6556973;14359311;NFOOD_CR
449;6556973;14359311;NFOOD_CR
459;6556973;14359311;NFOOD_CR
460;6556973;14359311;NFOOD_CR
486;6556973;14359311;NFOOD_CR
491;6556973;14359311;NFOOD_CR
493;6556973;14359311;NFOOD_CR
614;6556973;14359311;NFOOD_CR
617;6556973;14359311;NFOOD_CR
632;6556973;14359311;NFOOD_CR
662;6556973;14359311;NFOOD_CR
776;6556973;14359311;NFOOD_CR
1063;6556973;14359311;NFOOD_CR
1064;6556973;14359311;NFOOD_CR
1065;6556973;14359311;NFOOD_CR
1067;6556973;14359311;NFOOD_CR
1068;6556973;14359311;NFOOD_CR
1069;6556973;14359311;NFOOD_CR
1070;6556973;14359311;NFOOD_CR
1071;6556973;14359311;NFOOD_CR
1085;6556973;14359311;NFOOD_CR
1073;6556973;14359311;NFOOD_CR
1074;6556973;14359311;NFOOD_CR
1076;6556973;14359311;NFOOD_CR
1077;6556973;14359311;NFOOD_CR
1078;6556973;14359311;NFOOD_CR
1079;6556973;14359311;NFOOD_CR
1080;6556973;14359311;NFOOD_CR
1081;6556973;14359311;NFOOD_CR
1082;6556973;14359311;NFOOD_CR
1083;6556973;14359311;NFOOD_CR
1086;6556973;14359311;NFOOD_CR
1269;6556973;14359311;NFOOD_CR
1274;6556973;14359311;NFOOD_CR
1271;6556973;14359311;NFOOD_CR
1276;6556973;14359311;NFOOD_CR
1267;6556973;14359311;NFOOD_CR
